"111111110000000"
ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	Description
283377_at	0.0023284	5.14e-06	-7.28	3.56831	-6.16e-01	283377	SPRY domain containing 4
4700_at	0.0025007	5.78e-06	-7.21	3.44396	-7.03e-01	4700	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
10327_at	0.0025007	5.80e-06	-7.20	3.442	-7.09e-01	10327	aldo-keto reductase family 1, member A1 (aldehyde reductase)
83953_at	0.0025151	5.97e-06	-7.18	3.41017	-2.44	83953	Fc receptor, IgA, IgM, high affinity
85236_at	0.0025151	6.11e-06	-7.17	3.3871	-1.02	85236	histone cluster 1, H2bk
57019_at	0.0025446	6.39e-06	-7.14	3.33902	-6.04e-01	57019	cytokine induced apoptosis inhibitor 1
3184_at	0.0025446	6.46e-06	7.13	3.32817	4.77e-01	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
27235_at	0.0026292	6.83e-06	-7.10	3.26939	-9.44e-01	27235	coenzyme Q2 homolog, prenyltransferase (yeast)
29095_at	0.0026292	7.07e-06	-7.07	3.23284	-1.16	29095	ORM1-like 2 (S. cerevisiae)
36_at	0.0026292	7.11e-06	7.07	3.22742	7.20e-01	36	acyl-CoA dehydrogenase, short/branched chain
51248_at	0.002829	7.80e-06	-7.01	3.12929	-4.54e-01	51248	PDZ domain containing 11
51300_at	0.0029128	8.20e-06	-6.98	3.07782	-3.64e-01	51300	chromosome 3 open reading frame 1
1155_at	0.0030374	8.91e-06	-6.92	2.98988	-4.54e-01	1155	tubulin folding cofactor B
79135_at	0.0030374	9.04e-06	-6.91	2.97535	-8.69e-01	79135	apolipoprotein O
22822_at	0.0030374	9.29e-06	6.89	2.94602	2.80	22822	pleckstrin homology-like domain, family A, member 1
353322_at	0.0030374	9.33e-06	6.89	2.94194	2.23	353322	ankyrin repeat domain 37
1490_at	0.0030374	9.39e-06	6.89	2.93566	3.32	1490	connective tissue growth factor
51651_at	0.0031691	9.97e-06	-6.85	2.87254	-5.85e-01	51651	peptidyl-tRNA hydrolase 2
10952_at	0.0032128	1.06e-05	-6.81	2.81284	-4.15e-01	10952	Sec61 beta subunit
8443_at	0.0032128	1.06e-05	-6.81	2.81166	-4.72e-01	8443	glyceronephosphate O-acyltransferase
5707_at	0.0032128	1.08e-05	-6.80	2.78727	-6.68e-01	5707	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
29034_at	0.0032128	1.08e-05	6.80	2.78699	3.44	29034	hypothetical LOC29034
8660_at	0.0032285	1.12e-05	6.78	2.75434	2.37	8660	insulin receptor substrate 2
140576_at	0.0032285	1.12e-05	-6.77	2.74801	-5.00e-01	140576	S100 calcium binding protein A16
51109_at	0.0033016	1.17e-05	-6.74	2.70114	-1.04	51109	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
5721_at	0.0033016	1.18e-05	-6.74	2.69175	-4.71e-01	5721	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
126295_at	0.0033926	1.24e-05	-6.71	2.6472	-5.73e-01	126295	zinc finger protein 57
51009_at	0.0034033	1.26e-05	-6.70	2.62812	-4.92e-01	51009	Der1-like domain family, member 2
51128_at	0.0034379	1.29e-05	-6.68	2.60199	-6.31e-01	51128	SAR1 homolog B (S. cerevisiae)
11221_at	0.0035064	1.33e-05	6.66	2.56598	1.76	11221	dual specificity phosphatase 10
1843_at	0.003599	1.39e-05	6.64	2.52355	2.43	1843	dual specificity phosphatase 1
9094_at	0.0040624	1.60e-05	-6.55	2.37833	-5.74e-01	9094	unc-119 homolog (C. elegans)
152926_at	0.0040624	1.61e-05	6.54	2.36704	1.53	152926	protein phosphatase, Mg2+/Mn2+ dependent, 1K
64400_at	0.0041782	1.68e-05	-6.52	2.32311	-7.88e-01	64400	AKT interacting protein
4645_at	0.0042498	1.74e-05	-6.50	2.29103	-1.40	4645	myosin VB
4191_at	0.0043852	1.83e-05	-6.46	2.23307	-4.23e-01	4191	malate dehydrogenase 2, NAD (mitochondrial)
8799_at	0.0043852	1.84e-05	-6.46	2.23022	-4.07e-01	8799	peroxisomal biogenesis factor 11 beta
284702_at	0.0047895	2.03e-05	6.40	2.12414	1.42	284702	non-protein coding RNA 201
4201_at	0.0048225	2.08e-05	-6.39	2.10343	-5.06e-01	4201	male-enhanced antigen 1
55167_at	0.0048829	2.13e-05	6.37	2.07706	8.65e-01	55167	male-specific lethal 2 homolog (Drosophila)
5708_at	0.0048898	2.16e-05	-6.36	2.06241	-5.40e-01	5708	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
1576_at	0.0049665	2.23e-05	6.34	2.0304	9.67e-01	1576	cytochrome P450, family 3, subfamily A, polypeptide 4
29090_at	0.0049665	2.25e-05	-6.34	2.02024	-4.77e-01	29090	chromosome 18 open reading frame 55
83872_at	0.0049951	2.29e-05	-6.32	2.00154	-1.00	83872	hemicentin 1
64080_at	0.0052295	2.52e-05	-6.27	1.90139	-3.30e-01	64080	ribokinase
7389_at	0.0052295	2.55e-05	-6.26	1.88981	-3.70e-01	7389	uroporphyrinogen decarboxylase
51642_at	0.0052295	2.57e-05	-6.25	1.87815	-5.86e-01	51642	mitochondrial ribosomal protein L48
6341_at	0.0052295	2.58e-05	-6.25	1.87589	-8.87e-01	6341	SCO cytochrome oxidase deficient homolog 1 (yeast)
28972_at	0.0052295	2.58e-05	-6.25	1.87511	-5.20e-01	28972	signal peptidase complex subunit 1 homolog (S. cerevisiae)
60491_at	0.0052295	2.60e-05	-6.25	1.86736	-5.32e-01	60491	NIF3 NGG1 interacting factor 3-like 1 (S. pombe)
5720_at	0.0052295	2.61e-05	-6.24	1.86277	-5.80e-01	5720	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)
79133_at	0.0052295	2.67e-05	-6.23	1.84027	-5.99e-01	79133	chromosome 20 open reading frame 7
171546_at	0.0052295	2.70e-05	-6.22	1.82984	-1.21	171546	chromosome 14 open reading frame 147
10384_at	0.0052295	2.72e-05	-6.22	1.81993	-8.95e-01	10384	butyrophilin, subfamily 3, member A3
1798_at	0.0052295	2.72e-05	-6.22	1.81944	-8.73e-01	1798	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
26092_at	0.0052295	2.74e-05	6.21	1.81217	4.65e-01	26092	torsin A interacting protein 1
115416_at	0.0055522	2.94e-05	-6.17	1.73855	-3.78e-01	115416	chromosome 7 open reading frame 30
50814_at	0.0055991	3.00e-05	-6.16	1.71891	-1.37	50814	NAD(P) dependent steroid dehydrogenase-like
55969_at	0.0056523	3.06e-05	-6.15	1.69828	-4.78e-01	55969	chromosome 20 open reading frame 24
11068_at	0.0056701	3.11e-05	-6.14	1.67872	-6.71e-01	11068	cytochrome b-561 domain containing 2
10020_at	0.0056701	3.13e-05	6.13	1.67386	3.62e-01	10020	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
9540_at	0.0057474	3.20e-05	-6.12	1.64929	-2.58	9540	tumor protein p53 inducible protein 3
221443_at	0.00575	3.24e-05	-6.11	1.63708	-7.89e-01	221443	chromosome 6 open reading frame 130
54463_at	0.00575	3.27e-05	6.11	1.62832	1.72	54463	family with sequence similarity 134, member B
120224_at	0.0058046	3.33e-05	-6.10	1.60831	-2.73	120224	transmembrane protein 45B
57406_at	0.0060056	3.48e-05	-6.07	1.56271	-7.09e-01	57406	abhydrolase domain containing 6
29098_at	0.0061527	3.61e-05	-6.05	1.52322	-1.01	29098	RAN guanine nucleotide release factor
7353_at	0.0061527	3.65e-05	-6.04	1.51325	-5.02e-01	7353	ubiquitin fusion degradation 1 like (yeast)
150094_at	0.0061527	3.67e-05	6.04	1.50796	3.51	150094	salt-inducible kinase 1
6387_at	0.0062466	3.76e-05	6.02	1.48248	5.93e-01	6387	chemokine (C-X-C motif) ligand 12
8802_at	0.0062956	3.82e-05	-6.01	1.46477	-4.14e-01	8802	succinate-CoA ligase, alpha subunit
4733_at	0.006344	3.91e-05	-6.00	1.43979	-4.64e-01	4733	developmentally regulated GTP binding protein 1
55096_at	0.006344	4.04e-05	5.98	1.4056	1.04	55096	endogenous Borna-like N element-2
5188_at	0.006344	4.05e-05	-5.98	1.40351	-6.87e-01	5188	PET112-like (yeast)
7832_at	0.006344	4.07e-05	5.97	1.39834	1.27	7832	BTG family, member 2
60_at	0.006344	4.13e-05	5.97	1.3823	6.96e-01	60	actin, beta
54995_at	0.006344	4.15e-05	-5.96	1.37969	-4.33e-01	54995	3-oxoacyl-ACP synthase, mitochondrial
373156_at	0.006344	4.21e-05	-5.95	1.36414	-3.38e-01	373156	glutathione S-transferase kappa 1
55505_at	0.006344	4.22e-05	-5.95	1.36209	-4.57e-01	55505	NOP10 ribonucleoprotein homolog (yeast)
11164_at	0.006344	4.24e-05	-5.95	1.35683	-4.74e-01	11164	nudix (nucleoside diphosphate linked moiety X)-type motif 5
7385_at	0.006344	4.28e-05	-5.94	1.34606	-4.25e-01	7385	ubiquinol-cytochrome c reductase core protein II
201254_at	0.006344	4.29e-05	-5.94	1.3448	-7.50e-01	201254	stimulated by retinoic acid 13 homolog (mouse)
6291_at	0.006344	4.32e-05	-5.94	1.3369	-5.04e-01	6291	serum amyloid A4, constitutive
7538_at	0.006344	4.37e-05	5.93	1.32554	1.91	7538	zinc finger protein 36, C3H type, homolog (mouse)
55967_at	0.006344	4.37e-05	-5.93	1.32503	-4.89e-01	55967	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12
143941_at	0.006344	4.41e-05	5.93	1.31447	6.77e-01	143941	tetratricopeptide repeat domain 36
84299_at	0.006344	4.44e-05	-5.92	1.30819	-4.10e-01	84299	chromosome 17 open reading frame 37
10169_at	0.006344	4.45e-05	-5.92	1.3066	-2.44e-01	10169	small EDRK-rich factor 2
65109_at	0.0063458	4.48e-05	-5.92	1.29811	-1.09	65109	UPF3 regulator of nonsense transcripts homolog B (yeast)
2720_at	0.0063755	4.54e-05	-5.91	1.28464	-5.61e-01	2720	galactosidase, beta 1
7050_at	0.0063755	4.58e-05	5.90	1.27467	1.52	7050	TGFB-induced factor homeobox 1
26019_at	0.0063755	4.61e-05	-5.90	1.26903	-6.46e-01	26019	UPF2 regulator of nonsense transcripts homolog (yeast)
56945_at	0.006376	4.65e-05	-5.90	1.25994	-3.33e-01	56945	mitochondrial ribosomal protein S22
515_at	0.006376	4.68e-05	-5.89	1.25312	-3.88e-01	515	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1
5244_at	0.0064427	4.76e-05	-5.88	1.23442	-1.34	5244	ATP-binding cassette, sub-family B (MDR/TAP), member 4
5094_at	0.0064464	4.83e-05	5.87	1.21983	4.97e-01	5094	poly(rC) binding protein 2
10606_at	0.0064464	4.85e-05	-5.87	1.21571	-4.64e-01	10606	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
4199_at	0.0064464	4.87e-05	-5.87	1.21071	-1.89	4199	malic enzyme 1, NADP(+)-dependent, cytosolic
10611_at	0.0064948	4.95e-05	5.86	1.1953	5.96e-01	10611	PDZ and LIM domain 5
3485_at	0.0065064	4.99e-05	5.85	1.1859	4.30	3485	insulin-like growth factor binding protein 2, 36kDa
51019_at	0.0066985	5.17e-05	-5.83	1.14803	-6.30e-01	51019	coiled-coil domain containing 53
5176_at	0.0068427	5.32e-05	-5.82	1.11837	-5.08e-01	5176	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
5510_at	0.0068747	5.39e-05	-5.81	1.10611	-4.26e-01	5510	protein phosphatase 1, regulatory (inhibitor) subunit 7
51138_at	0.0069318	5.51e-05	-5.80	1.08294	-4.13e-01	51138	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)
65986_at	0.0069318	5.51e-05	5.80	1.08288	1.26	65986	zinc finger and BTB domain containing 10
84315_at	0.0069477	5.57e-05	-5.79	1.07076	-6.95e-01	84315	MON1 homolog A (yeast)
54432_at	0.0069477	5.60e-05	-5.79	1.06609	-6.33e-01	54432	Yip1 domain family, member 1
2730_at	0.0069819	5.67e-05	5.78	1.05183	9.93e-01	2730	glutamate-cysteine ligase, modifier subunit
4143_at	0.0069819	5.73e-05	5.77	1.04162	6.49e-01	4143	methionine adenosyltransferase I, alpha
10476_at	0.0069819	5.74e-05	-5.77	1.03973	-3.53e-01	10476	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d
2627_at	0.0069996	5.87e-05	5.76	1.01648	1.54	2627	GATA binding protein 6
467_at	0.0069996	5.91e-05	5.75	1.01002	1.42	467	activating transcription factor 3
10099_at	0.0069996	5.91e-05	-5.75	1.00868	-1.11	10099	tetraspanin 3
390_at	0.0069996	6.00e-05	5.74	0.99282	1.46	390	Rho family GTPase 3
5524_at	0.0069996	6.01e-05	-5.74	0.99192	-4.87e-01	5524	protein phosphatase 2A activator, regulatory subunit 4
6431_at	0.0069996	6.11e-05	5.73	0.9745	7.26e-01	6431	splicing factor, arginine/serine-rich 6
95_at	0.0069996	6.13e-05	-5.73	0.97097	-5.71e-01	95	aminoacylase 1
47_at	0.0069996	6.16e-05	-5.73	0.96657	-6.03e-01	47	ATP citrate lyase
85437_at	0.0069996	6.18e-05	-5.73	0.96288	-3.66e-01	85437	zinc finger CCHC-type and RNA binding motif 1
64979_at	0.0069996	6.18e-05	-5.73	0.96247	-5.02e-01	64979	mitochondrial ribosomal protein L36
140739_at	0.0069996	6.21e-05	-5.72	0.95778	-4.31e-01	140739	ubiquitin-conjugating enzyme E2F (putative)
2079_at	0.0069996	6.27e-05	-5.72	0.94746	-3.37e-01	2079	enhancer of rudimentary homolog (Drosophila)
4729_at	0.0069996	6.30e-05	-5.72	0.94207	-4.03e-01	4729	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa
51232_at	0.0069996	6.33e-05	5.71	0.93802	6.14e-01	51232	cysteine rich transmembrane BMP regulator 1 (chordin-like)
3251_at	0.0069996	6.35e-05	5.71	0.93458	9.85e-01	3251	hypoxanthine phosphoribosyltransferase 1
133686_at	0.0069996	6.37e-05	5.71	0.93067	4.43e-01	133686	chromosome 5 open reading frame 33
84458_at	0.0070405	6.45e-05	5.70	0.91829	9.92e-01	84458	ligand dependent nuclear receptor corepressor
84134_at	0.0071367	6.62e-05	-5.69	0.89052	-6.42e-01	84134	translocase of outer mitochondrial membrane 40 homolog (yeast)-like
8480_at	0.0071367	6.64e-05	-5.69	0.8885	-5.01e-01	8480	RAE1 RNA export 1 homolog (S. pombe)
2158_at	0.0071367	6.66e-05	-5.68	0.88515	-2.59e-01	2158	coagulation factor IX
25979_at	0.0071367	6.69e-05	-5.68	0.8793	-8.35e-01	25979	dehydrogenase/reductase (SDR family) member 7B
63875_at	0.0071606	6.76e-05	-5.68	0.86969	-4.99e-01	63875	mitochondrial ribosomal protein L17
100131414_at	0.0071924	6.83e-05	5.67	0.85899	6.96e-01	100131414	hypothetical LOC100131414
3949_at	0.0072044	6.88e-05	5.66	0.8512	1.92	3949	low density lipoprotein receptor
92344_at	0.0072556	6.97e-05	-5.66	0.83708	-6.54e-01	92344	golgin, RAB6-interacting
81688_at	0.0072556	7.01e-05	5.65	0.83183	7.46e-01	81688	chromosome 6 open reading frame 62
81873_at	0.0075464	7.33e-05	-5.63	0.78492	-3.91e-01	81873	actin related protein 2/3 complex, subunit 5-like
5230_at	0.0075499	7.41e-05	-5.62	0.77272	-4.68e-01	5230	phosphoglycerate kinase 1
388_at	0.0075499	7.45e-05	5.62	0.76746	1.52	388	ras homolog gene family, member B
9352_at	0.0075499	7.50e-05	-5.61	0.76103	-3.23e-01	9352	thioredoxin-like 1
80308_at	0.0075499	7.53e-05	-5.61	0.75611	-3.24e-01	80308	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)
51433_at	0.0075499	7.54e-05	-5.61	0.75524	-2.63e-01	51433	anaphase promoting complex subunit 5
23107_at	0.00758	7.61e-05	-5.61	0.74535	-3.53e-01	23107	mitochondrial ribosomal protein S27
84513_at	0.0076733	7.75e-05	-5.60	0.72688	-7.18e-01	84513	phosphatidic acid phosphatase type 2 domain containing 1B
8644_at	0.0077853	7.90e-05	-5.58	0.70609	-1.03	8644	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
5073_at	0.0078873	8.08e-05	-5.57	0.68317	-3.62e-01	5073	poly(A)-specific ribonuclease (deadenylation nuclease)
29081_at	0.0078873	8.12e-05	-5.57	0.67774	-3.42e-01	29081	methyltransferase like 5
10351_at	0.0078873	8.14e-05	5.57	0.67568	6.48e-01	10351	ATP-binding cassette, sub-family A (ABC1), member 8
7069_at	0.0078903	8.19e-05	-5.56	0.66973	-1.57	7069	thyroid hormone responsive (SPOT14 homolog, rat)
9158_at	0.0079848	8.38e-05	-5.55	0.64547	-5.49e-01	9158	fibroblast growth factor (acidic) intracellular binding protein
3726_at	0.0079848	8.39e-05	5.55	0.64386	2.17	3726	jun B proto-oncogene
23788_at	0.0079848	8.45e-05	-5.54	0.63633	-7.67e-01	23788	mitochondrial carrier homolog 2 (C. elegans)
10463_at	0.0079848	8.46e-05	-5.54	0.63538	-2.34e-01	10463	solute carrier family 30 (zinc transporter), member 9
79154_at	0.0080141	8.57e-05	-5.54	0.62212	-8.72e-01	79154	dehydrogenase/reductase (SDR family) member 11
23411_at	0.0080141	8.60e-05	5.53	0.61767	1.08	23411	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)
51204_at	0.0080141	8.62e-05	-5.53	0.61542	-5.01e-01	51204	translational activator of mitochondrially encoded cytochrome c oxidase I
3609_at	0.0080358	8.69e-05	5.53	0.60728	3.57e-01	3609	interleukin enhancer binding factor 3, 90kDa
10269_at	0.0080852	8.87e-05	-5.52	0.586	-6.19e-01	10269	zinc metallopeptidase (STE24 homolog, S. cerevisiae)
100129550_at	0.0080852	8.87e-05	5.52	0.58587	2.49e-01	100129550	hypothetical LOC100129550
10213_at	0.0080852	8.88e-05	-5.52	0.58507	-7.86e-01	10213	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
79902_at	0.0081254	8.97e-05	-5.51	0.57468	-5.30e-01	79902	nucleoporin 85kDa
25880_at	0.0084808	9.41e-05	-5.48	0.5249	-7.04e-01	25880	transmembrane protein 186
4706_at	0.0085036	9.48e-05	-5.48	0.51694	-3.09e-01	4706	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa
7112_at	0.008739	9.79e-05	5.46	0.48337	9.64e-01	7112	thymopoietin
10549_at	0.0087454	9.84e-05	-5.46	0.47748	-5.14e-01	10549	peroxiredoxin 4
51053_at	0.0089266	1.01e-04	-5.44	0.45104	-8.54e-01	51053	geminin, DNA replication inhibitor
8992_at	0.0089435	1.02e-04	-5.44	0.44402	-2.75e-01	8992	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
7965_at	0.0089584	1.02e-04	-5.43	0.43632	-5.43e-01	7965	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
5571_at	0.0089584	1.03e-04	-5.43	0.43193	-4.88e-01	5571	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
553115_at	0.0089584	1.03e-04	-5.43	0.42723	-4.09e-01	553115	penta-EF-hand domain containing 1
25805_at	0.0090871	1.06e-04	5.42	0.404	1.31	25805	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
51493_at	0.0090871	1.06e-04	-5.42	0.40247	-5.27e-01	51493	chromosome 22 open reading frame 28
83460_at	0.0091804	1.07e-04	-5.41	0.38692	-3.01e-01	83460	transmembrane protein 93
6443_at	0.0091906	1.08e-04	-5.40	0.38086	-9.94e-01	6443	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
10134_at	0.0092611	1.10e-04	-5.40	0.36496	-4.35e-01	10134	B-cell receptor-associated protein 31
26118_at	0.0092611	1.10e-04	5.39	0.35949	9.24e-01	26118	WD repeat and SOCS box-containing 1
7332_at	0.0092611	1.10e-04	-5.39	0.35836	-4.13e-01	7332	ubiquitin-conjugating enzyme E2L 3
51668_at	0.0092914	1.11e-04	-5.39	0.35016	-2.80e-01	51668	heat shock protein family B (small), member 11
5993_at	0.0093506	1.13e-04	-5.38	0.33841	-8.31e-01	5993	regulatory factor X, 5 (influences HLA class II expression)
4170_at	0.0093506	1.13e-04	5.38	0.334	1.19	4170	myeloid cell leukemia sequence 1 (BCL2-related)
10026_at	0.0093965	1.14e-04	-5.37	0.32417	-6.42e-01	10026	phosphatidylinositol glycan anchor biosynthesis, class K
90141_at	0.0095353	1.16e-04	-5.36	0.30419	-1.26	90141	chromosome 14 open reading frame 143
28984_at	0.0095474	1.17e-04	5.36	0.29818	2.77	28984	chromosome 13 open reading frame 15
7283_at	0.0096253	1.18e-04	-5.35	0.28505	-8.05e-01	7283	tubulin, gamma 1
64651_at	0.0096643	1.19e-04	5.35	0.27619	3.06	64651	cysteine-serine-rich nuclear protein 1
79070_at	0.0097111	1.21e-04	-5.34	0.26654	-1.09	79070	KDEL (Lys-Asp-Glu-Leu) containing 1
11311_at	0.0097345	1.21e-04	-5.34	0.25942	-7.97e-01	11311	vacuolar protein sorting 45 homolog (S. cerevisiae)
57018_at	0.0099688	1.25e-04	5.32	0.23009	8.27e-01	57018	cyclin L1
115201_at	0.0099704	1.25e-04	-5.32	0.22536	-9.50e-01	115201	ATG4 autophagy related 4 homolog A (S. cerevisiae)
11161_at	0.010007	1.26e-04	-5.31	0.217	-8.25e-01	11161	chromosome 14 open reading frame 1
740_at	0.0100285	1.28e-04	-5.31	0.20706	-4.86e-01	740	mitochondrial ribosomal protein L49
10140_at	0.0100285	1.28e-04	5.31	0.20572	9.39e-01	10140	transducer of ERBB2, 1
3053_at	0.0100612	1.29e-04	-5.30	0.19692	-2.42e-01	3053	serpin peptidase inhibitor, clade D (heparin cofactor), member 1
2195_at	0.0100612	1.30e-04	-5.30	0.19098	-1.69	2195	FAT tumor suppressor homolog 1 (Drosophila)
84890_at	0.0100612	1.30e-04	5.30	0.18893	6.70e-01	84890	2-aminoethanethiol (cysteamine) dioxygenase
92840_at	0.010244	1.33e-04	-5.29	0.16578	-5.41e-01	92840	receptor accessory protein 6
51103_at	0.0103755	1.35e-04	-5.28	0.14712	-5.46e-01	51103	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1
516_at	0.0103755	1.36e-04	-5.27	0.14371	-5.93e-01	516	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)
10724_at	0.0104399	1.37e-04	5.27	0.13125	4.48e-01	10724	meningioma expressed antigen 5 (hyaluronidase)
85476_at	0.0104399	1.38e-04	-5.26	0.12469	-4.61e-01	85476	G elongation factor, mitochondrial 1
54927_at	0.0104399	1.38e-04	-5.26	0.12421	-6.65e-01	54927	coiled-coil-helix-coiled-coil-helix domain containing 3
8607_at	0.0104991	1.40e-04	-5.26	0.10972	-7.65e-01	8607	RuvB-like 1 (E. coli)
5713_at	0.0104991	1.40e-04	-5.26	0.1097	-5.13e-01	5713	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7
3164_at	0.0105534	1.42e-04	5.25	0.10006	2.95	3164	nuclear receptor subfamily 4, group A, member 1
