ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	Description
4201_at	0.0048225	2.08e-05	-6.39	2.10343	-0.506		male-enhanced antigen 1
55167_at	0.0048829	2.13e-05	6.37	2.07706	0.865		male-specific lethal 2 homolog (Drosophila)
5708_at	0.0048898	2.16e-05	-6.36	2.06241	-0.54		proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
1576_at	0.0049665	2.23e-05	6.34	2.0304	0.967		cytochrome P450, family 3, subfamily A, polypeptide 4
29090_at	0.0049665	2.25e-05	-6.34	2.02024	-0.477		chromosome 18 open reading frame 55
83872_at	0.0049951	2.29e-05	-6.32	2.00154	-1.0		hemicentin 1
64080_at	0.0052295	2.52e-05	-6.27	1.90139	-0.33		ribokinase
7389_at	0.0052295	2.55e-05	-6.26	1.88981	-0.37		uroporphyrinogen decarboxylase
51642_at	0.0052295	2.57e-05	-6.25	1.87815	-0.586		mitochondrial ribosomal protein L48
6341_at	0.0052295	2.58e-05	-6.25	1.87589	-0.887		SCO cytochrome oxidase deficient homolog 1 (yeast)
28972_at	0.0052295	2.58e-05	-6.25	1.87511	-0.52		signal peptidase complex subunit 1 homolog (S. cerevisiae)
60491_at	0.0052295	2.6e-05	-6.25	1.86736	-0.532		NIF3 NGG1 interacting factor 3-like 1 (S. pombe)
5720_at	0.0052295	2.61e-05	-6.24	1.86277	-0.58		proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)
79133_at	0.0052295	2.67e-05	-6.23	1.84027	-0.599		chromosome 20 open reading frame 7
171546_at	0.0052295	2.7e-05	-6.22	1.82984	-1.21	SPTSSA	chromosome 14 open reading frame 147
10384_at	0.0052295	2.72e-05	-6.22	1.81993	-0.895		butyrophilin, subfamily 3, member A3
1798_at	0.0052295	2.72e-05	-6.22	1.81944	-0.873		dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
26092_at	0.0052295	2.74e-05	6.21	1.81217	0.465		torsin A interacting protein 1
115416_at	0.0055522	2.94e-05	-6.17	1.73855	-0.378		chromosome 7 open reading frame 30
50814_at	0.0055991	3e-05	-6.16	1.71891	-1.37	NSDHL	NAD(P) dependent steroid dehydrogenase-like
55969_at	0.0056523	3.06e-05	-6.15	1.69828	-0.478		chromosome 20 open reading frame 24
11068_at	0.0056701	3.11e-05	-6.14	1.67872	-0.671		cytochrome b-561 domain containing 2
10020_at	0.0056701	3.13e-05	6.13	1.67386	0.362		glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
9540_at	0.0057474	3.2e-05	-6.12	1.64929	-2.58	TP53I3	tumor protein p53 inducible protein 3
221443_at	0.00575	3.24e-05	-6.11	1.63708	-0.789		chromosome 6 open reading frame 130
54463_at	0.00575	3.27e-05	6.11	1.62832	1.72	fam134b	family with sequence similarity 134, member B
120224_at	0.0058046	3.33e-05	-6.1	1.60831	-2.73	TMEM45B	transmembrane protein 45B
57406_at	0.0060056	3.48e-05	-6.07	1.56271	-0.709		abhydrolase domain containing 6
29098_at	0.0061527	3.61e-05	-6.05	1.52322	-1.01	RANGRF	RAN guanine nucleotide release factor
7353_at	0.0061527	3.65e-05	-6.04	1.51325	-0.502		ubiquitin fusion degradation 1 like (yeast)
150094_at	0.0061527	3.67e-05	6.04	1.50796	3.51	SIK1	salt-inducible kinase 1
6387_at	0.0062466	3.76e-05	6.02	1.48248	0.593		chemokine (C-X-C motif) ligand 12
8802_at	0.0062956	3.82e-05	-6.01	1.46477	-0.414		succinate-CoA ligase, alpha subunit
4733_at	0.006344	3.91e-05	-6.0	1.43979	-0.464		developmentally regulated GTP binding protein 1
55096_at	0.006344	4.04e-05	5.98	1.4056	1.04	EBLN2	endogenous Borna-like N element-2
5188_at	0.006344	4.05e-05	-5.98	1.40351	-0.687		PET112-like (yeast)
7832_at	0.006344	4.07e-05	5.97	1.39834	1.27	BTG2	BTG family, member 2
60_at	0.006344	4.13e-05	5.97	1.3823	0.696		actin, beta
54995_at	0.006344	4.15e-05	-5.96	1.37969	-0.433		3-oxoacyl-ACP synthase, mitochondrial
373156_at	0.006344	4.21e-05	-5.95	1.36414	-0.338		glutathione S-transferase kappa 1
55505_at	0.006344	4.22e-05	-5.95	1.36209	-0.457		NOP10 ribonucleoprotein homolog (yeast)
11164_at	0.006344	4.24e-05	-5.95	1.35683	-0.474		nudix (nucleoside diphosphate linked moiety X)-type motif 5
7385_at	0.006344	4.28e-05	-5.94	1.34606	-0.425		ubiquinol-cytochrome c reductase core protein II
201254_at	0.006344	4.29e-05	-5.94	1.3448	-0.75		stimulated by retinoic acid 13 homolog (mouse)
6291_at	0.006344	4.32e-05	-5.94	1.3369	-0.504		serum amyloid A4, constitutive
7538_at	0.006344	4.37e-05	5.93	1.32554	1.91	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)
55967_at	0.006344	4.37e-05	-5.93	1.32503	-0.489		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12
143941_at	0.006344	4.41e-05	5.93	1.31447	0.677		tetratricopeptide repeat domain 36
84299_at	0.006344	4.44e-05	-5.92	1.30819	-0.41		chromosome 17 open reading frame 37
10169_at	0.006344	4.45e-05	-5.92	1.3066	-0.244		small EDRK-rich factor 2
65109_at	0.0063458	4.48e-05	-5.92	1.29811	-1.09	UPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast)
2720_at	0.0063755	4.54e-05	-5.91	1.28464	-0.561		galactosidase, beta 1
7050_at	0.0063755	4.58e-05	5.9	1.27467	1.52	TGIF1	TGFB-induced factor homeobox 1
26019_at	0.0063755	4.61e-05	-5.9	1.26903	-0.646		UPF2 regulator of nonsense transcripts homolog (yeast)
56945_at	0.006376	4.65e-05	-5.9	1.25994	-0.333		mitochondrial ribosomal protein S22
515_at	0.006376	4.68e-05	-5.89	1.25312	-0.388		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1
5244_at	0.0064427	4.76e-05	-5.88	1.23442	-1.34	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
5094_at	0.0064464	4.83e-05	5.87	1.21983	0.497		poly(rC) binding protein 2
10606_at	0.0064464	4.85e-05	-5.87	1.21571	-0.464		phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
4199_at	0.0064464	4.87e-05	-5.87	1.21071	-1.89	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic
10611_at	0.0064948	4.95e-05	5.86	1.1953	0.596		PDZ and LIM domain 5
3485_at	0.0065064	4.99e-05	5.85	1.1859	4.3	IGFBP2	insulin-like growth factor binding protein 2, 36kDa
51019_at	0.0066985	5.17e-05	-5.83	1.14803	-0.63		coiled-coil domain containing 53
5176_at	0.0068427	5.32e-05	-5.82	1.11837	-0.508		serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
5510_at	0.0068747	5.39e-05	-5.81	1.10611	-0.426		protein phosphatase 1, regulatory (inhibitor) subunit 7
51138_at	0.0069318	5.51e-05	-5.8	1.08294	-0.413		COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)
65986_at	0.0069318	5.51e-05	5.8	1.08288	1.26	ZBTB10	zinc finger and BTB domain containing 10
84315_at	0.0069477	5.57e-05	-5.79	1.07076	-0.695		MON1 homolog A (yeast)
54432_at	0.0069477	5.6e-05	-5.79	1.06609	-0.633		Yip1 domain family, member 1
2730_at	0.0069819	5.67e-05	5.78	1.05183	0.993		glutamate-cysteine ligase, modifier subunit
4143_at	0.0069819	5.73e-05	5.77	1.04162	0.649		methionine adenosyltransferase I, alpha
10476_at	0.0069819	5.74e-05	-5.77	1.03973	-0.353		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d
2627_at	0.0069996	5.87e-05	5.76	1.01648	1.54	GATA6	GATA binding protein 6
467_at	0.0069996	5.91e-05	5.75	1.01002	1.42	ATF3	activating transcription factor 3
10099_at	0.0069996	5.91e-05	-5.75	1.00868	-1.11	TSPAN3	tetraspanin 3
390_at	0.0069996	6e-05	5.74	0.99282	1.46	RND3	Rho family GTPase 3
5524_at	0.0069996	6.01e-05	-5.74	0.99192	-0.487		protein phosphatase 2A activator, regulatory subunit 4
6431_at	0.0069996	6.11e-05	5.73	0.9745	0.726		splicing factor, arginine/serine-rich 6
95_at	0.0069996	6.13e-05	-5.73	0.97097	-0.571		aminoacylase 1
47_at	0.0069996	6.16e-05	-5.73	0.96657	-0.603		ATP citrate lyase
85437_at	0.0069996	6.18e-05	-5.73	0.96288	-0.366		zinc finger CCHC-type and RNA binding motif 1
64979_at	0.0069996	6.18e-05	-5.73	0.96247	-0.502		mitochondrial ribosomal protein L36
140739_at	0.0069996	6.21e-05	-5.72	0.95778	-0.431		ubiquitin-conjugating enzyme E2F (putative)
2079_at	0.0069996	6.27e-05	-5.72	0.94746	-0.337		enhancer of rudimentary homolog (Drosophila)
4729_at	0.0069996	6.3e-05	-5.72	0.94207	-0.403		NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa
51232_at	0.0069996	6.33e-05	5.71	0.93802	0.614		cysteine rich transmembrane BMP regulator 1 (chordin-like)
3251_at	0.0069996	6.35e-05	5.71	0.93458	0.985		hypoxanthine phosphoribosyltransferase 1
133686_at	0.0069996	6.37e-05	5.71	0.93067	0.443		chromosome 5 open reading frame 33
84458_at	0.0070405	6.45e-05	5.7	0.91829	0.992		ligand dependent nuclear receptor corepressor
84134_at	0.0071367	6.62e-05	-5.69	0.89052	-0.642		translocase of outer mitochondrial membrane 40 homolog (yeast)-like
8480_at	0.0071367	6.64e-05	-5.69	0.8885	-0.501		RAE1 RNA export 1 homolog (S. pombe)
2158_at	0.0071367	6.66e-05	-5.68	0.88515	-0.259		coagulation factor IX
25979_at	0.0071367	6.69e-05	-5.68	0.8793	-0.835		dehydrogenase/reductase (SDR family) member 7B
63875_at	0.0071606	6.76e-05	-5.68	0.86969	-0.499		mitochondrial ribosomal protein L17
100131414_at	0.0071924	6.83e-05	5.67	0.85899	0.696		hypothetical LOC100131414
3949_at	0.0072044	6.88e-05	5.66	0.8512	1.92	LDLR	low density lipoprotein receptor
92344_at	0.0072556	6.97e-05	-5.66	0.83708	-0.654		golgin, RAB6-interacting
81688_at	0.0072556	7.01e-05	5.65	0.83183	0.746		chromosome 6 open reading frame 62
81873_at	0.0075464	7.33e-05	-5.63	0.78492	-0.391		actin related protein 2/3 complex, subunit 5-like
5230_at	0.0075499	7.41e-05	-5.62	0.77272	-0.468		phosphoglycerate kinase 1
388_at	0.0075499	7.45e-05	5.62	0.76746	1.52	RHOB	ras homolog gene family, member B
9352_at	0.0075499	7.5e-05	-5.61	0.76103	-0.323		thioredoxin-like 1
80308_at	0.0075499	7.53e-05	-5.61	0.75611	-0.324		FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)
51433_at	0.0075499	7.54e-05	-5.61	0.75524	-0.263		anaphase promoting complex subunit 5
23107_at	0.00758	7.61e-05	-5.61	0.74535	-0.353		mitochondrial ribosomal protein S27
84513_at	0.0076733	7.75e-05	-5.6	0.72688	-0.718		phosphatidic acid phosphatase type 2 domain containing 1B
8644_at	0.0077853	7.9e-05	-5.58	0.70609	-1.03	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
5073_at	0.0078873	8.08e-05	-5.57	0.68317	-0.362		poly(A)-specific ribonuclease (deadenylation nuclease)
29081_at	0.0078873	8.12e-05	-5.57	0.67774	-0.342		methyltransferase like 5
10351_at	0.0078873	8.14e-05	5.57	0.67568	0.648		ATP-binding cassette, sub-family A (ABC1), member 8
7069_at	0.0078903	8.19e-05	-5.56	0.66973	-1.57	THRSP	thyroid hormone responsive (SPOT14 homolog, rat)
9158_at	0.0079848	8.38e-05	-5.55	0.64547	-0.549		fibroblast growth factor (acidic) intracellular binding protein
3726_at	0.0079848	8.39e-05	5.55	0.64386	2.17	JUNB	jun B proto-oncogene
23788_at	0.0079848	8.45e-05	-5.54	0.63633	-0.767		mitochondrial carrier homolog 2 (C. elegans)
10463_at	0.0079848	8.46e-05	-5.54	0.63538	-0.234		solute carrier family 30 (zinc transporter), member 9
79154_at	0.0080141	8.57e-05	-5.54	0.62212	-0.872		dehydrogenase/reductase (SDR family) member 11
23411_at	0.0080141	8.6e-05	5.53	0.61767	1.08	SIRT1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)
51204_at	0.0080141	8.62e-05	-5.53	0.61542	-0.501		translational activator of mitochondrially encoded cytochrome c oxidase I
3609_at	0.0080358	8.69e-05	5.53	0.60728	0.357		interleukin enhancer binding factor 3, 90kDa
10269_at	0.0080852	8.87e-05	-5.52	0.586	-0.619		zinc metallopeptidase (STE24 homolog, S. cerevisiae)
100129550_at	0.0080852	8.87e-05	5.52	0.58587	0.249		hypothetical LOC100129550
10213_at	0.0080852	8.88e-05	-5.52	0.58507	-0.786		proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
79902_at	0.0081254	8.97e-05	-5.51	0.57468	-0.53		nucleoporin 85kDa
25880_at	0.0084808	9.41e-05	-5.48	0.5249	-0.704		transmembrane protein 186
4706_at	0.0085036	9.48e-05	-5.48	0.51694	-0.309		NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa
7112_at	0.008739	9.79e-05	5.46	0.48337	0.964		thymopoietin
10549_at	0.0087454	9.84e-05	-5.46	0.47748	-0.514		peroxiredoxin 4
51053_at	0.0089266	0.000101	-5.44	0.45104	-0.854		geminin, DNA replication inhibitor
8992_at	0.0089435	0.000102	-5.44	0.44402	-0.275		ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
7965_at	0.0089584	0.000102	-5.43	0.43632	-0.543		aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
5571_at	0.0089584	0.000103	-5.43	0.43193	-0.488		protein kinase, AMP-activated, gamma 1 non-catalytic subunit
553115_at	0.0089584	0.000103	-5.43	0.42723	-0.409		penta-EF-hand domain containing 1
25805_at	0.0090871	0.000106	5.42	0.404	1.31	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
51493_at	0.0090871	0.000106	-5.42	0.40247	-0.527		chromosome 22 open reading frame 28
83460_at	0.0091804	0.000107	-5.41	0.38692	-0.301		transmembrane protein 93
6443_at	0.0091906	0.000108	-5.4	0.38086	-0.994		sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
10134_at	0.0092611	0.00011	-5.4	0.36496	-0.435		B-cell receptor-associated protein 31
26118_at	0.0092611	0.00011	5.39	0.35949	0.924		WD repeat and SOCS box-containing 1
7332_at	0.0092611	0.00011	-5.39	0.35836	-0.413		ubiquitin-conjugating enzyme E2L 3
51668_at	0.0092914	0.000111	-5.39	0.35016	-0.28		heat shock protein family B (small), member 11
5993_at	0.0093506	0.000113	-5.38	0.33841	-0.831		regulatory factor X, 5 (influences HLA class II expression)
4170_at	0.0093506	0.000113	5.38	0.334	1.19	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)
10026_at	0.0093965	0.000114	-5.37	0.32417	-0.642		phosphatidylinositol glycan anchor biosynthesis, class K
90141_at	0.0095353	0.000116	-5.36	0.30419	-1.26	EFCAB11	chromosome 14 open reading frame 143
28984_at	0.0095474	0.000117	5.36	0.29818	2.77	RGCC	chromosome 13 open reading frame 15
7283_at	0.0096253	0.000118	-5.35	0.28505	-0.805		tubulin, gamma 1
64651_at	0.0096643	0.000119	5.35	0.27619	3.06	CSRNP1	cysteine-serine-rich nuclear protein 1
79070_at	0.0097111	0.000121	-5.34	0.26654	-1.09	KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1
11311_at	0.0097345	0.000121	-5.34	0.25942	-0.797		vacuolar protein sorting 45 homolog (S. cerevisiae)
57018_at	0.0099688	0.000125	5.32	0.23009	0.827		cyclin L1
115201_at	0.0099704	0.000125	-5.32	0.22536	-0.95		ATG4 autophagy related 4 homolog A (S. cerevisiae)
11161_at	0.010007	0.000126	-5.31	0.217	-0.825		chromosome 14 open reading frame 1
740_at	0.0100285	0.000128	-5.31	0.20706	-0.486		mitochondrial ribosomal protein L49
10140_at	0.0100285	0.000128	5.31	0.20572	0.939		transducer of ERBB2, 1
3053_at	0.0100612	0.000129	-5.3	0.19692	-0.242		serpin peptidase inhibitor, clade D (heparin cofactor), member 1
2195_at	0.0100612	0.00013	-5.3	0.19098	-1.69	FAT1	FAT tumor suppressor homolog 1 (Drosophila)
84890_at	0.0100612	0.00013	5.3	0.18893	0.67		2-aminoethanethiol (cysteamine) dioxygenase
92840_at	0.010244	0.000133	-5.29	0.16578	-0.541		receptor accessory protein 6
51103_at	0.0103755	0.000135	-5.28	0.14712	-0.546		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1
516_at	0.0103755	0.000136	-5.27	0.14371	-0.593		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)
10724_at	0.0104399	0.000137	5.27	0.13125	0.448		meningioma expressed antigen 5 (hyaluronidase)
85476_at	0.0104399	0.000138	-5.26	0.12469	-0.461		G elongation factor, mitochondrial 1
54927_at	0.0104399	0.000138	-5.26	0.12421	-0.665		coiled-coil-helix-coiled-coil-helix domain containing 3
8607_at	0.0104991	0.00014	-5.26	0.10972	-0.765		RuvB-like 1 (E. coli)
5713_at	0.0104991	0.00014	-5.26	0.1097	-0.513		proteasome (prosome, macropain) 26S subunit, non-ATPase, 7
3164_at	0.0105534	0.000142	5.25	0.10006	2.95	NR4A1	nuclear receptor subfamily 4, group A, member 1
55750_at	0.0106701	0.000144	-5.24	0.0822	-0.642		acylglycerol kinase
292_at	0.0106701	0.000146	-5.23	0.06851	-0.445		solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
8195_at	0.0106701	0.000146	-5.23	0.06762	-0.57		McKusick-Kaufman syndrome
11234_at	0.0106701	0.000146	-5.23	0.06499	-1.71	hps5	Hermansky-Pudlak syndrome 5
5436_at	0.0106701	0.000146	-5.23	0.06406	-0.674		polymerase (RNA) II (DNA directed) polypeptide G
3394_at	0.0106701	0.000147	5.23	0.06329	1.7	IRF8	interferon regulatory factor 8
23475_at	0.0110183	0.000152	-5.21	0.02267	-0.665		quinolinate phosphoribosyltransferase
55671_at	0.0110183	0.000153	5.21	0.01778	0.557		SMEK homolog 1, suppressor of mek1 (Dictyostelium)
114915_at	0.0110183	0.000153	5.21	0.01749	0.652		non-protein coding RNA 219
81572_at	0.0112183	0.000157	-5.19	-0.00531	-0.382		p53 and DNA-damage regulated 1
10069_at	0.0113045	0.000159	-5.19	-0.01908	-0.446		RWD domain containing 2B
4905_at	0.0113045	0.00016	-5.18	-0.02433	-0.545		N-ethylmaleimide-sensitive factor
175_at	0.0113045	0.00016	-5.18	-0.03027	-0.642		aspartylglucosaminidase
7485_at	0.0113045	0.000161	-5.18	-0.03243	-0.438		tryptophan rich basic protein
79631_at	0.0113045	0.000161	-5.18	-0.03358	-0.556		elongation factor Tu GTP binding domain containing 1
4719_at	0.0113223	0.000163	-5.17	-0.0462	-0.655		NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)
79869_at	0.0113223	0.000163	5.17	-0.04723	0.467		cleavage and polyadenylation specific factor 7, 59kDa
84962_at	0.0113223	0.000163	-5.17	-0.04767	-1.67	AJUBA	jub, ajuba homolog (Xenopus laevis)
387763_at	0.0113223	0.000164	5.17	-0.05315	1.79	c11orf96	protein Ag2 homolog
